Strouse Cat ID,Item Name/Number,Vendor Name/Code,Primary Units Type,Primary Units Type ID,Department,Location,Track Landed Cost,Costing Method,Cost Category,Purchase Description,Use Bin,Purchase Price,Vendor 1 Name,Vendor 1 Id,Vendor 1 Subsidiary,Vendor 1 Preferred,Vendor 1 Purchase Price,Bin Number,Preferred (Per Location),COGS Account,Asset Account,Income Account,Tax Schedule
21697,FRA 316-W5.5,FRA 316,Length Units,,Operations,Strouse-HQ,,Average,Default Cost Category,"Liner, 4 mil PET Liner, FRA 316, S2S",TRUE,0.082896,Fox River Associates,4046,The Strouse Corporation,TRUE,0.082896,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
21699,CSM - 4991-W0.75,CSM - 4991,Length Units,,Operations,Strouse-HQ,,Average,Default Cost Category,"90 mil, D/C Grey Acrylic, VHB",TRUE,0,Veritiv - Portland,3557,The Strouse Corporation,TRUE,0,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
21700,8545HS-W24,8545HS,Length Units,,Operations,Strouse-HQ,,Average,Default Cost Category,"Polyurethane Protective Tape, Matte Black.",TRUE,71.82243241,"3M Company, Inc. Converter Markets",3141,The Strouse Corporation,TRUE,71.82243241,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
21701,W6019-W28,W6019,Length Units,,Operations,Strouse-HQ,,Average,Default Cost Category,"10 mil, white, UV-cured, Platinum catalyzed, easy release one side",TRUE,3,"Adhesives Research, Inc.",3301,The Strouse Corporation,TRUE,3,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
21702,ACFVI43-19012 STD,ACFVI43-19012 STD,"Each (Use for Boxes, Bags, Cores, Cases)",3,Operations,Strouse-HQ,,Average,Default Cost Category,"LED Pantone 267U
",TRUE,,Interactive Inks & Coatings,3366,The Strouse Corporation,TRUE,,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
21707,96042-W48,96042,Length Units,,Operations,Strouse-HQ,,Average,Default Cost Category,"96042, 5 mil D/C Silicone Adhesive",TRUE,11.02922778,"3M Company, Inc. Converter Markets",3141,The Strouse Corporation,TRUE,11.02922778,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
21708,9952-W28,9952,Length Units,,Operations,Strouse-HQ,,Average,Default Cost Category,"9952, Polyester Tape, 11.2 mils",TRUE,2.919569444,"3M Company, Inc. Converter Markets",3141,The Strouse Corporation,TRUE,2.919569444,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
21709,9948-W39.5,9948,Length Units,,Operations,Strouse-HQ,,Average,Default Cost Category,"9948,Tape,Clear Non woven, Medical",TRUE,2.687578704,"3M Company, Inc. Converter Markets",3141,The Strouse Corporation,TRUE,2.687578704,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
21710,7667-W12,7667,Length Units,,Operations,Strouse-HQ,,Average,Default Cost Category,"Single Coat .8mil of 7667 Dow Silicone on 2mil White Printable PET. 2mil PET Fluoro Liner   
",TRUE,9.090909091,Lamart Corporation,3598,The Strouse Corporation,TRUE,9.090909091,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
21711,401+-W5.669,401+,Length Units,,Operations,Strouse-HQ,,Average,Default Cost Category,Green Performance Masking 401+ (144mm x 55M) ,TRUE,0.133402222,"3M Company, Inc. Converter Markets",3141,The Strouse Corporation,TRUE,0.133402222,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
