Model,Model Id,Occupancy,Occupancy Id,Make,Make Id,Type,Type Id,TypeDetail,TypeDetail2,Suspension,Suspension Id,Color,Color Id,Canopy Top Color,Canopy Top Color Id,Subitem of,Subitem of Id,Child Item,MSRP
Concierge 4,2,4-PASS,2,Yamaha,1,ELECTRIC,2,FLA,4,Non-lifted,2,Bluestone,7,Black,3,"Yamaha,Concierge 4,4-PASS,FLA,ELECTRIC,Non-lifted",2650,"Yamaha,Concierge 4,Bluestone,4-PASS,FLA,ELECTRIC,Non-lifted,CT_Black",16500.00
Concierge 4,2,4-PASS,2,Yamaha,1,ELECTRIC,2,FLA,4,Non-lifted,2,Bluestone,7,Stone,4,"Yamaha,Concierge 4,4-PASS,FLA,ELECTRIC,Non-lifted",2650,"Yamaha,Concierge 4,Bluestone,4-PASS,FLA,ELECTRIC,Non-lifted,CT_Stone",16500.00
Concierge 4,2,4-PASS,2,Yamaha,1,ELECTRIC,2,FLA,4,Non-lifted,2,Jasper,8,Black,3,"Yamaha,Concierge 4,4-PASS,FLA,ELECTRIC,Non-lifted",2650,"Yamaha,Concierge 4,Jasper,4-PASS,FLA,ELECTRIC,Non-lifted,CT_Black",16500.00
Concierge 4,2,4-PASS,2,Yamaha,1,ELECTRIC,2,FLA,4,Non-lifted,2,Jasper,8,Stone,4,"Yamaha,Concierge 4,4-PASS,FLA,ELECTRIC,Non-lifted",2650,"Yamaha,Concierge 4,Jasper,4-PASS,FLA,ELECTRIC,Non-lifted,CT_Stone",16500.00
Concierge 4,2,4-PASS,2,Yamaha,1,ELECTRIC,2,FLA,4,Non-lifted,2,Black,9,Black,3,"Yamaha,Concierge 4,4-PASS,FLA,ELECTRIC,Non-lifted",2650,"Yamaha,Concierge 4,Black,4-PASS,FLA,ELECTRIC,Non-lifted,CT_Black",16500.00
Concierge 4,2,4-PASS,2,Yamaha,1,ELECTRIC,2,FLA,4,Non-lifted,2,Black,9,Stone,4,"Yamaha,Concierge 4,4-PASS,FLA,ELECTRIC,Non-lifted",2650,"Yamaha,Concierge 4,Black,4-PASS,FLA,ELECTRIC,Non-lifted,CT_Stone",16500.00
Drive2 Fleet,3,2-PASS,1,Yamaha,1,ELECTRIC,2,FLA,4,Non-lifted,2,Mica Metallic,10,Black,3,"Yamaha,Drive2 Fleet,2-PASS,FLA,ELECTRIC,Non-lifted",2651,"Yamaha,Drive2 Fleet,Mica Metallic,2-PASS,FLA,ELECTRIC,Non-lifted,CT_Black",9650.00
Drive2 Fleet,3,2-PASS,1,Yamaha,1,ELECTRIC,2,FLA,4,Non-lifted,2,Mica Metallic,10,Stone,4,"Yamaha,Drive2 Fleet,2-PASS,FLA,ELECTRIC,Non-lifted",2651,"Yamaha,Drive2 Fleet,Mica Metallic,2-PASS,FLA,ELECTRIC,Non-lifted,CT_Stone",9650.00
Drive2 Fleet,3,2-PASS,1,Yamaha,1,ELECTRIC,2,FLA,4,Non-lifted,2,Arctic Drift Matte,11,Black,3,"Yamaha,Drive2 Fleet,2-PASS,FLA,ELECTRIC,Non-lifted",2651,"Yamaha,Drive2 Fleet,Arctic Drift Matte,2-PASS,FLA,ELECTRIC,Non-lifted,CT_Black",9650.00
Drive2 Fleet,3,2-PASS,1,Yamaha,1,ELECTRIC,2,FLA,4,Non-lifted,2,Arctic Drift Matte,11,Stone,4,"Yamaha,Drive2 Fleet,2-PASS,FLA,ELECTRIC,Non-lifted",2651,"Yamaha,Drive2 Fleet,Arctic Drift Matte,2-PASS,FLA,ELECTRIC,Non-lifted,CT_Stone",9650.00
Drive2 Fleet,3,2-PASS,1,Yamaha,1,ELECTRIC,2,FLA,4,Non-lifted,2,Moonstone,6,Black,3,"Yamaha,Drive2 Fleet,2-PASS,FLA,ELECTRIC,Non-lifted",2651,"Yamaha,Drive2 Fleet,Moonstone,2-PASS,FLA,ELECTRIC,Non-lifted,CT_Black",9650.00
Drive2 Fleet,3,2-PASS,1,Yamaha,1,ELECTRIC,2,FLA,4,Non-lifted,2,Moonstone,6,Stone,4,"Yamaha,Drive2 Fleet,2-PASS,FLA,ELECTRIC,Non-lifted",2651,"Yamaha,Drive2 Fleet,Moonstone,2-PASS,FLA,ELECTRIC,Non-lifted,CT_Stone",9650.00
Drive2 Fleet,3,2-PASS,1,Yamaha,1,ELECTRIC,2,FLA,4,Non-lifted,2,Carbon,12,Black,3,"Yamaha,Drive2 Fleet,2-PASS,FLA,ELECTRIC,Non-lifted",2651,"Yamaha,Drive2 Fleet,Carbon,2-PASS,FLA,ELECTRIC,Non-lifted,CT_Black",9650.00
Drive2 Fleet,3,2-PASS,1,Yamaha,1,ELECTRIC,2,FLA,4,Non-lifted,2,Carbon,12,Stone,4,"Yamaha,Drive2 Fleet,2-PASS,FLA,ELECTRIC,Non-lifted",2651,"Yamaha,Drive2 Fleet,Carbon,2-PASS,FLA,ELECTRIC,Non-lifted,CT_Stone",9650.00
Drive2 Fleet,3,2-PASS,1,Yamaha,1,ELECTRIC,2,FLA,4,Non-lifted,2,Bluestone,7,Black,3,"Yamaha,Drive2 Fleet,2-PASS,FLA,ELECTRIC,Non-lifted",2651,"Yamaha,Drive2 Fleet,Bluestone,2-PASS,FLA,ELECTRIC,Non-lifted,CT_Black",9650.00
Drive2 Fleet,3,2-PASS,1,Yamaha,1,ELECTRIC,2,FLA,4,Non-lifted,2,Bluestone,7,Stone,4,"Yamaha,Drive2 Fleet,2-PASS,FLA,ELECTRIC,Non-lifted",2651,"Yamaha,Drive2 Fleet,Bluestone,2-PASS,FLA,ELECTRIC,Non-lifted,CT_Stone",9650.00
Drive2 Fleet,3,2-PASS,1,Yamaha,1,ELECTRIC,2,FLA,4,Non-lifted,2,Garnet,13,Black,3,"Yamaha,Drive2 Fleet,2-PASS,FLA,ELECTRIC,Non-lifted",2651,"Yamaha,Drive2 Fleet,Garnet,2-PASS,FLA,ELECTRIC,Non-lifted,CT_Black",9650.00
