Reference #,Adjustment Account,Date,Posting Period,Memo,Subsidiary,Department,Item,Item,Item ID,Item ID Sandipan,Location,Units,Adjust Qty By,Est. Unit Cost,Department,Class,Memo,,Lot/Serial (for lot numbered item),Expiration Date (for lot numbered item),Lot Quantity (for lot numbered item)
,5968 Valuation Adjustments,11/14/2019,,Opening Balance,Western Consolidated Technologies,,WRJA305290012D-R970BK,WRJA305290012D-R970BK,28375,28375,WCT HQ,EA,,0.04796,,JA,,E1-FG,4/30/2025,,1125
,5969 Valuation Adjustments,8/28/2024,,Opening Balance,Western Consolidated Technologies,,WRJC100075012D-R470EK,WRJC100075012D-R470EK,28380,28380,WCT HQ,EA,,0.01794,,JC,,E1-FG,4/30/2025,,1751
,5970 Valuation Adjustments,1/24/2025,,Opening Balance,Western Consolidated Technologies,,WRJC091066012D-R470EK,WRJC091066012D-R470EK,28382,28382,WCT HQ,PC,,0.01527,,JC,,E1-FG,4/30/2025,,1545
,5971 Valuation Adjustments,12/26/2024,,Opening Balance,Western Consolidated Technologies,,WRJC093073009D-R970BK,WRJC093073009D-R970BK,28383,28383,WCT HQ,PC,,0.02261,,JC,,E1-FG,4/30/2025,,1450
,5972 Valuation Adjustments,4/14/2022,,Opening Balance,Western Consolidated Technologies,,WRJE218194012D-R970BK,WRJE218194012D-R970BK,28390,28390,WCT HQ,EA,,0.03133,,JE,,E1-FG,4/30/2025,,685
,5973 Valuation Adjustments,10/30/2020,,Opening Balance,Western Consolidated Technologies,,WRJE156133012D-R970BK,WRJE156133012D-R970BK,28392,28392,WCT HQ,PC,,0.03113,,JE,,E1-FG,4/30/2025,,1775
,5974 Valuation Adjustments,4/9/2020,,Opening Balance,Western Consolidated Technologies,,WRJE203183012D-R970BK,WRJE203183012D-R970BK,28397,28397,WCT HQ,PC,,0.03618,,JE,,E1-FG,4/30/2025,,560
,5975 Valuation Adjustments,3/24/2025,,Opening Balance,Western Consolidated Technologies,,WRJA628603012D-R470EK,WRJA628603012D-R470EK,28403,28403,WCT HQ,PC,,0.13204,,JA,,E1-FG,4/30/2025,,636
,5976 Valuation Adjustments,8/23/2019,,Opening Balance,Western Consolidated Technologies,,WRJE228204012D-R970BK,WRJE228204012D-R970BK,28415,28415,WCT HQ,EA,,0.03928,,JE,,E1-FG,4/30/2025,,1140
,5977 Valuation Adjustments,8/23/2019,,Opening Balance,Western Consolidated Technologies,,WRJE151128012D-R970BK,WRJE151128012D-R970BK,28422,28422,WCT HQ,EA,,0.02481,,JE,,E1-FG,4/30/2025,,3165
,5978 Valuation Adjustments,5/21/2021,,Opening Balance,Western Consolidated Technologies,,1-10209,1-10209,52632,52632,WCT HQ,EA,,0.0303,,JE,,E1-FG,4/30/2025,,3595
,5979 Valuation Adjustments,1/23/2025,,Opening Balance,Western Consolidated Technologies,,WRJE166143012D-R970BK,WRJE166143012D-R970BK,28427,28427,WCT HQ,EA,,0.02337,,JE,,E1-FG,4/30/2025,,839
,5980 Valuation Adjustments,9/8/2021,,Opening Balance,Western Consolidated Technologies,,WRJA363339012D-R970BK,WRJA363339012D-R970BK,28428,28428,WCT HQ,EA,,0.05098,,JA,,E1-FG,4/30/2025,,1220
,5981 Valuation Adjustments,4/25/2025,,Opening Balance,Western Consolidated Technologies,,WRJE182162009D-R970BK,WRJE182162009D-R970BK,28434,28434,WCT HQ,EA,,0.02483,,JE,,E1-FG,4/30/2025,,1769
,5982 Valuation Adjustments,3/3/2021,,Opening Balance,Western Consolidated Technologies,,WRJA286263012D-R970BK,WRJA286263012D-R970BK,28435,28435,WCT HQ,EA,,0.04436,,JA,,E1-FG,4/30/2025,,4105
,5983 Valuation Adjustments,6/8/2021,,Opening Balance,Western Consolidated Technologies,,1-10222,1-10222,52639,52639,WCT HQ,EA,,0.03806,,JE,,E1-FG,4/30/2025,,1825
,5984 Valuation Adjustments,9/16/2020,,Opening Balance,Western Consolidated Technologies,,WRJE226192012D-R970BK,WRJE226192012D-R970BK,28441,28441,WCT HQ,EA,,0.03793,,JE,,E1-FG,4/30/2025,,810
,5985 Valuation Adjustments,5/10/2024,,Opening Balance,Western Consolidated Technologies,,WRJC150112009D-R470BK,WRJC150112009D-R470BK,28447,28447,WCT HQ,EA,,0.02316,,JC,,E1-FG,4/30/2025,,374
,5986 Valuation Adjustments,1/10/2020,,Opening Balance,Western Consolidated Technologies,,WRJE164140012D-R970BK,WRJE164140012D-R970BK,28450,28450,WCT HQ,EA,,0.03299,,JE,,E1-FG,4/30/2025,,1050
,5987 Valuation Adjustments,8/7/2020,,Opening Balance,Western Consolidated Technologies,,WRJE193169012D-R970BK,WRJE193169012D-R970BK,28453,28453,WCT HQ,PC,,0.03016,,JE,,E1-FG,4/30/2025,,950
,5988 Valuation Adjustments,10/6/2023,,Opening Balance,Western Consolidated Technologies,,1-10238,1-10238,52672,52672,WCT HQ,EA,,0.02065,,JE,,E1-FG,4/30/2025,,1315
,5989 Valuation Adjustments,11/29/2023,,Opening Balance,Western Consolidated Technologies,,WRJA450400012D-R490AK,WRJA450400012D-R490AK,28457,28457,WCT HQ,EA,,0.1437,,JA,,E1-FG,4/30/2025,,1470
,5990 Valuation Adjustments,6/21/2024,,Opening Balance,Western Consolidated Technologies,,WRJA303253009D-R470BK,WRJA303253009D-R470BK,28460,28460,WCT HQ,EA,,0.05509,,JA,,E1-FG,4/30/2025,,1565
,5991 Valuation Adjustments,5/15/2020,,Opening Balance,Western Consolidated Technologies,,WRJE279255012D-R970BK,WRJE279255012D-R970BK,28461,28461,WCT HQ,EA,,0.04116,,JE,,E1-FG,4/30/2025,,7826
,5992 Valuation Adjustments,3/7/2025,,Opening Balance,Western Consolidated Technologies,,WRJA311287012D-R970BK,WRJA311287012D-R970BK,28465,28465,WCT HQ,EA,,0.04812,,JA,,E1-FG,4/30/2025,,1188
,5993 Valuation Adjustments,2/9/2024,,Opening Balance,Western Consolidated Technologies,,WRJA262209009D-R470BK,WRJA262209009D-R470BK,28467,28467,WCT HQ,EA,,0.04964,,JA,,E1-FG,4/30/2025,,3922
,5994 Valuation Adjustments,7/14/2022,,Opening Balance,Western Consolidated Technologies,,WRJE266241012D-R970BK,WRJE266241012D-R970BK,28475,28475,WCT HQ,EA,,0.03802,,JE,,E1-FG,4/30/2025,,1595
,5995 Valuation Adjustments,2/20/2025,,Opening Balance,Western Consolidated Technologies,,WRJC080043007D-R470BK,WRJC080043007D-R470BK,28482,28482,WCT HQ,EA,,0.01298,,JC,,E1-FG,4/30/2025,,615
,5996 Valuation Adjustments,2/25/2021,,Opening Balance,Western Consolidated Technologies,,WRJE175152012D-R970BK,WRJE175152012D-R970BK,28487,28487,WCT HQ,EA,,0.03275,,JE,,E1-FG,4/30/2025,,1815
,5997 Valuation Adjustments,2/25/2021,,Opening Balance,Western Consolidated Technologies,,WRJE134111012D-R970BK,WRJE134111012D-R970BK,28501,28501,WCT HQ,EA,,0.02386,,JE,,E1-FG,4/30/2025,,1195
,5998 Valuation Adjustments,10/4/2024,,Opening Balance,Western Consolidated Technologies,,WRJC121061009K-R870AK,WRJC121061009K-R870AK,28505,28505,WCT HQ,EA,,0.02349,,JC,,E1-FG,4/30/2025,,1195
,5999 Valuation Adjustments,10/25/2024,,Opening Balance,Western Consolidated Technologies,,1-10289,1-10289,52700,52700,WCT HQ,EA,,0.03009,,JE,,E1-FG,4/30/2025,,624
,6000 Valuation Adjustments,1/25/2024,,Opening Balance,Western Consolidated Technologies,,WRJC093050007D-R470BK,WRJC093050007D-R470BK,28513,28513,WCT HQ,EA,,0.01379,,JC,,E1-FG,4/30/2025,,730
,6001 Valuation Adjustments,7/29/2022,,Opening Balance,Western Consolidated Technologies,,WRJC038031006D-R470AK,WRJC038031006D-R470AK,28514,28514,WCT HQ,EA,,0.00706,,JC,,E1-FG,4/30/2025,,1750
,6002 Valuation Adjustments,9/18/2024,,Opening Balance,Western Consolidated Technologies,,WRJA427407012D-R980BK,WRJA427407012D-R980BK,28520,28520,WCT HQ,EA,,0.06978,,JA,,E1-FG,4/30/2025,,2060
,6003 Valuation Adjustments,3/29/2024,,Opening Balance,Western Consolidated Technologies,,WRJC212198005D-R470AK,WRJC212198005D-R470AK,28522,28522,WCT HQ,EA,,0.01947,,JC,,E1-FG,4/30/2025,,1325
,6004 Valuation Adjustments,4/1/2025,,Opening Balance,Western Consolidated Technologies,,WRJA250159012D-R590AK,WRJA250159012D-R590AK,28528,28528,WCT HQ,EA,,0.21247,,JA,,E1-FG,4/30/2025,,1115
,6005 Valuation Adjustments,6/24/2021,,Opening Balance,Western Consolidated Technologies,,WRJE195171012D-R970BK,WRJE195171012D-R970BK,28529,28529,WCT HQ,EA,,0.02794,,JE,,E1-FG,4/30/2025,,1845
,6006 Valuation Adjustments,2/12/2021,,Opening Balance,Western Consolidated Technologies,,WRJE261236012D-R970BK,WRJE261236012D-R970BK,28533,28533,WCT HQ,PC,,0.03499,,JE,,E1-FG,4/30/2025,,865
,6007 Valuation Adjustments,4/7/2021,,Opening Balance,Western Consolidated Technologies,,WRJA284259012D-R970BK,WRJA284259012D-R970BK,28534,28534,WCT HQ,EA,,0.03663,,JA,,E1-FG,4/30/2025,,1370
,6008 Valuation Adjustments,6/1/2021,,Opening Balance,Western Consolidated Technologies,,WRJE243218012D-R970BK,WRJE243218012D-R970BK,28535,28535,WCT HQ,EA,,0.0297,,JE,,E1-FG,4/30/2025,,2965
,6009 Valuation Adjustments,12/2/2020,,Opening Balance,Western Consolidated Technologies,,WRJE214190012D-R970BK,WRJE214190012D-R970BK,28536,28536,WCT HQ,EA,,0.02999,,JE,,E1-FG,4/30/2025,,1632
,6010 Valuation Adjustments,9/3/2020,,Opening Balance,Western Consolidated Technologies,,1-10320,1-10320,52744,52744,WCT HQ,PC,,0.02773,,JE,,E1-FG,4/30/2025,,2340
,6011 Valuation Adjustments,12/9/2016,,Opening Balance,Western Consolidated Technologies,,WRJC054035009D-R970BK,WRJC054035009D-R970BK,28547,28547,WCT HQ,EA,,0.01138,,JC,,E1-FG,4/30/2025,,1810
,6012 Valuation Adjustments,3/12/2024,,Opening Balance,Western Consolidated Technologies,,WRJC051028008D-R170AK,WRJC051028008D-R170AK,28548,28548,WCT HQ,EA,,0.0444,,JC,,E1-FG,4/30/2025,,2790
,6013 Valuation Adjustments,10/5/2022,,Opening Balance,Western Consolidated Technologies,,WRJC035017004D-R170AK,WRJC035017004D-R170AK,28549,28549,WCT HQ,EA,,0.01683,,JC,,E1-FG,4/30/2025,,5000
,6014 Valuation Adjustments,7/10/2024,,Opening Balance,Western Consolidated Technologies,,WRJC105092007D-R470AK,WRJC105092007D-R470AK,28551,28551,WCT HQ,EA,,0.01326,,JC,,E1-FG,4/30/2025,,1525
,6015 Valuation Adjustments,3/7/2025,,Opening Balance,Western Consolidated Technologies,,WRJE277253012D-R970BK,WRJE277253012D-R970BK,28557,28557,WCT HQ,EA,,0.04155,,JE,,E1-FG,4/30/2025,,452
,6016 Valuation Adjustments,3/30/2020,,Opening Balance,Western Consolidated Technologies,,WRJC041024008D-R970BK,WRJC041024008D-R970BK,28559,28559,WCT HQ,EA,,0.00978,,JC,,E1-FG,4/30/2025,,2245
,6017 Valuation Adjustments,1/10/2020,,Opening Balance,Western Consolidated Technologies,,WRJE143120013D-R970BK,WRJE143120013D-R970BK,28561,28561,WCT HQ,EA,,0.02406,,JE,,E1-FG,4/30/2025,,920
,6018 Valuation Adjustments,9/27/2024,,Opening Balance,Western Consolidated Technologies,,1-10348,1-10348,52768,52768,WCT HQ,EA,,0.03601,,JE,,E1-FG,4/30/2025,,27000
,6019 Valuation Adjustments,9/19/2019,,Opening Balance,Western Consolidated Technologies,,WRJC040021006D-R970BK,WRJC040021006D-R970BK,28566,28566,WCT HQ,EA,,0.00646,,JC,,E1-FG,4/30/2025,,3450
,6020 Valuation Adjustments,4/24/2025,,Opening Balance,Western Consolidated Technologies,,WRJC031018006D-R470BK,WRJC031018006D-R470BK,28569,28569,WCT HQ,EA,,0.00806,,JC,,E1-FG,4/30/2025,,1539
,6021 Valuation Adjustments,4/25/2025,,Opening Balance,Western Consolidated Technologies,,WRJE152129011D-R970BK,WRJE152129011D-R970BK,28575,28575,WCT HQ,EA,,0.03179,,JE,,E1-FG,4/30/2025,,1500
,6022 Valuation Adjustments,11/4/2024,,Opening Balance,Western Consolidated Technologies,,WRJC084050003D-R990AK,WRJC084050003D-R990AK,28578,28578,WCT HQ,EA,,0.01343,,JC,,E1-FG,4/30/2025,,1760
,6023 Valuation Adjustments,7/25/2022,,Opening Balance,Western Consolidated Technologies,,WRJC050028013D-R470BK,WRJC050028013D-R470BK,28579,28579,WCT HQ,EA,,0.01606,,JC,,E1-FG,4/30/2025,,106
,6024 Valuation Adjustments,10/21/2024,,Opening Balance,Western Consolidated Technologies,,WRJC188120012D-R590AK,WRJC188120012D-R590AK,28581,28581,WCT HQ,EA,,0.10704,,JC,,E1-FG,4/30/2025,,1700
,6025 Valuation Adjustments,3/22/2024,,Opening Balance,Western Consolidated Technologies,,1-10368,1-10368,52782,52782,WCT HQ,EA,,0.03422,,JE,,E1-FG,4/30/2025,,9000
,6026 Valuation Adjustments,10/18/2024,,Opening Balance,Western Consolidated Technologies,,WRJA284258012D-R175BK,WRJA284258012D-R175BK,28583,28583,WCT HQ,PC,,0.3226,,JA,,E1-FG,4/30/2025,,2498
