Internal ID,Internal ID,Name,Legacy Vendor ID,Acount Number
2873,2873,FEDEX FREIGHT EAST,30019,30019
2874,2874,FERGUSON #420,31392,31392
2875,2875,"FERGUSON ENTERPRISE, INC",33042,33042
2876,2876,FETTERS CONSTRUCTION INC.,32882,32882
2877,2877,FIDELITY SECURITY LIFE INS.CO.,30375,30375
2878,2878,"FIRE AND ICE MECHANICAL, INC.",30055,30055
2879,2879,FIRE PROTECTION,42913,42913
2880,2880,FIRE PROTECTION INC.,32913,32913
2881,2881,FIRST COMMUNICATIONS,30211,30211
2883,2883,FIRST INSURANCE FUNDING CORP.,"300,573,103,841,038",30057
2884,2884,FIRST MIDWEST BANK,36240,36240
2885,2885,FISHER BROS. PAPER CO.,41472,41472
2886,2886,FLONTECH  LLC,40060,40060
2887,2887,FLOW PRODUCTS INC.,30181,30181
2888,2888,FLOW SOLUTIONS,30282,30282
2889,2889,FMC CORP.,32492,32492
2890,2890,"FORENSIC FLUIDS LABORATORIES,",30338,30338
2891,2891,FOREST CITY PACKAGING,40068,40068
2892,2892,FOREVER CLEANERS,43054,43054
2893,2893,"FORT WAYNE NEWSPAPERS, INC.",42117,42117
2894,2894,FOUR STAR SHARPENING,33035,33035
2895,2895,FOX TOOL & MFG,43039,43039
2896,2896,FRED OLSEN MARKETING COMM,32799,32799
2897,2897,FRED PRYOR SEMINARS,43056,43056
2898,2898,FREEDOM ACADEMY,31580,31580
2899,2899,FREMONT CHAMBER OF COMMERCE,32922,32922
2900,2900,FREMONT HARDWARE,32734,32734
2901,2901,FREMONT LUMBER COMPANY,31396,31396
2902,2902,FREMONT PETTY CASH,32761,32761
2903,2903,FREMONT POST PROM,98266,98266
2904,2904,FREMONT SAND AND GRAVEL LLC.,30091,30091
2905,2905,FREMONT YOUTH LEAGUE,98313,98313
2906,2906,FRICTION COATING CORPORATION,31953,31953
2907,2907,FRISKNEY EQUIPMENT,30088,30088
2908,2908,FRONTIER,31289,31289
2909,2909,G.NEIL CORPORATION,30017,30017
2910,2910,GALLAGHER CORPORATION,30312,30312
2911,2911,"GARCOR SUPPLY CO., INC.",42644,42644
2912,2912,GARLAND MANUFACTURING CO.,30221,30221
2913,2913,GE GROUP LIFE ASSURANCE CO.,"3,002,940,032",30029
2914,2914,GEMBA ACADEMY INC.,30271,30271
2915,2915,GFL AMERICAS LLC.,40059,40059
2916,2916,GIGI'S PLAYHOUSE,32024,32024
2917,2917,GLE SERVICE,30044,30044
2918,2918,GLENDO CORP,42999,42999
2919,2919,GLOBAL DISTRIBUTION INDUSTRIES,40022,40022
2920,2920,"GLOBAL EQUIPMENT CO.,INC.",30197,30197
2921,2921,"GLOBALSPEC, LLC.",32005,32005
2922,2922,GOAL/QPC INC,31313,31313
2923,2923,GOODFRIED LAW GROUP APC,30704,30704
2924,2924,GOSHEN AIR CENTER,43038,43038
2925,2925,GOSHEN CHAMBER OF COMMERCE,40008,40008
2926,2926,GOSHEN ELECTRIC INC.,41295,41295
2927,2927,GOSIGER INDIANA,30066,30066
2928,2928,GPI AVIATION INC.,33013,33013
2929,2929,GRAINGER,31342,31342
2930,2930,GRAPHIC ARTS RUBBER,30180,30180
2931,2931,GRAYBAR ELECTRIC COMPANY INC.,30820,30820
2932,2932,"GRAYBAR FINANCIAL SERVICE,LLC.",30217,30217
2933,2933,GREAT AMERICA LEASING CORP.,30223,30223
2934,2934,"GREENE TWEED & CO., INC.",43055,43055
2935,2935,GRIEVE CORPORATION,40012,40012
2936,2936,GRINNELL,42489,42489
2937,2937,"GRIZZLY INDUSTRIAL, INC",32565,32565
2938,2938,GROUND PENETRAITING RADAR SYS.,30320,30320
2939,2939,GRS RECRUITING,30349,30349
2940,2940,GT CNC,30330,30330
