entityId,internalId,Address1_AddressName,Address1_attention,Address1_Addressee,Address1_phone,Address1_line1,Address1_line2,Address1_city,Address1_state,Address1_zipCode,Address1_country,Address1_defaultBilling,Address1_defaultShipping
Customer ID,Internal Id,Label,Attention,Addressee,Phone,Address 1,Address 2,City,Province/State,Postal Code/Zip,Country,Default Billing,Default Shipping
EDV589478,1318,Billing,,Maryland Plastics,,P. O. Box 472,,Federalsburg,MD,21632-0000,United States,Y,N
EDV589478,1318,Shipping,,Maryland Plastics,,251 East Central Avenue,,Federalsburg,MD,21632,United States,N,Y
QSM124897,1319,Mailing,,"McCormick & Co., Inc.",,McCormick/Schilling Division,PO Box 6500 ,Sparks,MD,21152-0000,United States,N,N
QSM124897,1319,Billing,,"McCormick & Co., Inc.",,McCormick/Schilling Division,PO Box 168 ,Cockeysville,MD,21030-0000,United States,Y,N
QSM124897,1319,Shipping,,"McCormick & Co., Inc.",,11100 McCormick Road,,Hunt Valley,MD,21031,United States,N,Y
USR856608,1320,Mailing,,,,3081 Business Park Drive,,Raleigh,NC,27610-0000,United States,N,N
USR856608,1320,Billing,,,,PO Box 20768,,Greensboro,NC,27420-0000,United States,Y,N
USR856608,1320,Shipping,,,,5925 Summit Avenue,,Browns Summit,NC,27214,United States,N,Y
QOE094704,1321,Mailing,,"Shannon Baum Signs, Inc.",,105 Competitive Goals Drive,,Eldersburg,MD,21784,United States,N,N
QOE094704,1321,Billing,,"Shannon Baum Signs, Inc.",,105 Competitive Goals Drive,,Eldersburg,MD,21784,United States,Y,N
QOE094704,1321,Shipping,,"Shannon Baum Signs, Inc.",,105 Competitive Goals Drive,,Eldersburg,MD,21784,United States,N,Y
UIM106892,1322,Mailing,,Shippers Supply Company,,1735 W. Burnett,,Louisville,KY,40210-1814,United States,N,N
UIM106892,1322,Billing,,Shippers Supply Company,,4500 Progress Blvd,,Louisville,KY,40218-1814,United States,Y,N
UIM106892,1322,Shipping,,Shippers Supply Company,,4500 Progress Blvd,,Louisville,KY,40218-1814,United States,N,Y
IAN256034,1323,Mailing,,Static Control Components,,P. O. Box 152,,Sanford,NC,27331-0000,United States,N,N
IAN256034,1323,Billing,,Static Control Components,,P. O. Box 152,Attn: Accts. Payable,Sanford,NC,27331-0000,United States,Y,N
IAN256034,1323,Shipping,,Static Control Components,,2980 Lee  Avenue,Plant 18,Sanford,NC,27330,United States,N,Y
QPV058282,1324,Mailing,,Tesa Tape,,5825 Carnegie Blvd.,,Charlotte,NC,28209-0000,United States,N,N
QPV058282,1324,Billing,,Tesa Tape,,5825 Carnegie Blvd.,,Charlotte,NC,28209-0000,United States,Y,N
QPV058282,1324,Shipping,,Tesa Tape,,"2945 Walkent Ct., NW",,Grand Rapids,MI,49544,United States,N,Y
QAB825606,1325,Mailing,,"Textape, Inc.",,915 Pendale Road,,El Paso,TX,79907-0000,United States,N,N
QAB825606,1325,Billing,,"Textape, Inc.",,915 Pendale Road,,El Paso,TX,79907-0000,United States,Y,N
QAB825606,1325,Shipping,,"Textape, Inc.",,915 Pendale Road,,El Paso,TX,79907,United States,N,Y
RDM094552,1326,Mailing,,"Transcendia (Transilwrap Company, Inc.)",,Dept. 77-6082,,Chicago,IL,60678-6082,United States,N,N
RDM094552,1326,Billing,,"Transcendia (Transilwrap Company, Inc.)",,Dept. 77-6082,,Chicago,IL,60678-6082,United States,Y,N
RDM094552,1326,Shipping,,"Transcendia (Transilwrap Company, Inc.)",,1420 Valwood Parkway,,Dallas,TX,75006,United States,N,Y
RPB504805,1327,Mailing,,Veritiv - Richmond Unisource,,2401 Dabney Road,,Richmond,VA,23230,United States,N,N
RPB504805,1327,Billing,,Veritiv - Richmond Unisource,,P.O. Box 45195,Attn: Accounts Payable,Jacksonville,FL,32232-0000,United States,Y,N
RPB504805,1327,Shipping,,Veritiv - Richmond Unisource,,2401 Dabney Road,,Richmond,VA,23230,United States,N,Y
QIW004276,1328,Mailing,,"Uticom Systems, Inc.",,109 Independence Way,,Coatesville,PA,19320-1893,United States,N,N
QIW004276,1328,Billing,,"Uticom Systems, Inc.",,109 Independence Way,,Coatesville,PA,19320-1893,United States,Y,N
QIW004276,1328,Shipping,,"Uticom Systems, Inc.",,109 Independence Way,,Coatesville,PA,19320-1893,United States,N,Y
WDW572368,1329,Mailing,,Veritiv - El Paso ,,6839 Market Avenue,,El Paso,TX,79915,United States,N,N
WDW572368,1329,Billing,,Veritiv - El Paso ,,PO Box 415755,Attn: NEDS A/P,Cincinnati,OH,45241-5755,United States,Y,N
WDW572368,1329,Shipping,,Veritiv - El Paso ,,6839 Market Avenue,,El Paso,TX,79915,United States,N,Y
YUM481722,1330,Mailing,,Veritiv - Hanover,,7445 New Ridge Road,,Hanover,MD,21076-0000,United States,N,N
YUM481722,1330,Billing,,Veritiv - Hanover,,"Attn: MAX A/P, P. O. Box 625799",,Cincinnati,OH,45262-0000,United States,Y,N
YUM481722,1330,Shipping,,Veritiv - Hanover,,7445 New Ridge Road,,Hanover,MD,21076,United States,N,Y
WIT971548,1331,Mailing,,Veritiv - Charlotte,,4265 Trailer Drive,,Charlotte,NC,28269,United States,N,N
WIT971548,1331,Billing,,Veritiv - Charlotte,,"Attn: MAX A/P, P. O. Box 625799",,Cincinnati,OH,45262,United States,Y,N
WIT971548,1331,Shipping,,Veritiv - Charlotte,,4265 Trailer Drive,,Charlotte,NC,28269,United States,N,Y
RDV853804,1332,Mailing,,Veritiv - Greensboro,,3 Centerview Drive,Suite 300,Greensboro,NC,27407,United States,N,N
RDV853804,1332,Billing,,Veritiv - Greensboro,,"Attn: MAX A/P, P. O. Box 625799",,Cincinnati,OH,45262,United States,Y,N
RDV853804,1332,Shipping,,Veritiv - Greensboro,,3 Centerview Drive,Suite 300,Greensboro,NC,27407,United States,N,Y
TPB746337,1333,Mailing,,Veritiv - Garner (Morrisville),,1021 Morrisville Parkway,,Morrisville,NC,27560,United States,N,N
TPB746337,1333,Billing,,Veritiv - Garner (Morrisville),,"Attn: MAX A/P, P. O. Box 625799",,Cincinnati,OH,45262-1337,United States,Y,N
TPB746337,1333,Shipping,,Veritiv - Garner (Morrisville),,1070 Waterfield Drive,,Garner,NC,27529,United States,N,Y
