Quote/SalesOrder#,Quote/Order_Date,Sold To Customer Name,Address1,Address2,City,ST,Zip,Ship To Customer Name,Address1,Address2,City,ST,Zip,Sold To Customer_Code,Quote/PO Number,Salesperson_Code,Blank,ShipVia,Pcs,Weight,Terms,OrdedAmount,To Ship Amount,B/O Amount,Part Number,Description,Unit of Measure,Net Price,Ext Net Price,Tracking Number,Sub-Total Amount,COD Amount,Total Amount,End Of Line Marker
5564,2/23/2024,GRAPHIC SOLUTIONS - TULSA     ,10110 EAST 55TH PLACE         ,                              ,TULSA          ,OK,74146,GRAPHIC SOLUTIONS GROUP       ,                              ,10910 E 55TH PL               ,TULSA          ,OK,74146,FGR1011000,          ,FDI4000,      ,BEST WAY  ,3,0,    NET   30   ,1,1,0,3650-1515C010     ," 2ML 15""X50YD PERF WHITE      ",EAC,247.25,247.25,QUOTE                         ,791.65,0,791.65,E
5564,2/23/2024,GRAPHIC SOLUTIONS - TULSA     ,10110 EAST 55TH PLACE         ,                              ,TULSA          ,OK,74146,GRAPHIC SOLUTIONS GROUP       ,                              ,10910 E 55TH PL               ,TULSA          ,OK,74146,FGR1011000,          ,FDI4000,      ,BEST WAY  ,3,0,    NET   30   ,0,0,0,TEXT              , 3650-10                      ,   ,0,0,QUOTE                         ,791.65,0,791.65,E
5564,2/23/2024,GRAPHIC SOLUTIONS - TULSA     ,10110 EAST 55TH PLACE         ,                              ,TULSA          ,OK,74146,GRAPHIC SOLUTIONS GROUP       ,                              ,10910 E 55TH PL               ,TULSA          ,OK,74146,FGR1011000,          ,FDI4000,      ,BEST WAY  ,3,0,    NET   30   ,0,0,0,TEXT              ,                              ,   ,0,0,QUOTE                         ,791.65,0,791.65,E
5564,2/23/2024,GRAPHIC SOLUTIONS - TULSA     ,10110 EAST 55TH PLACE         ,                              ,TULSA          ,OK,74146,GRAPHIC SOLUTIONS GROUP       ,                              ,10910 E 55TH PL               ,TULSA          ,OK,74146,FGR1011000,          ,FDI4000,      ,BEST WAY  ,3,0,    NET   30   ,0,0,0,TEXT              ,"-PRICED PER ROLL, MIN 2 ROLLS ",   ,0,0,QUOTE                         ,791.65,0,791.65,E
5564,2/23/2024,GRAPHIC SOLUTIONS - TULSA     ,10110 EAST 55TH PLACE         ,                              ,TULSA          ,OK,74146,GRAPHIC SOLUTIONS GROUP       ,                              ,10910 E 55TH PL               ,TULSA          ,OK,74146,FGR1011000,          ,FDI4000,      ,BEST WAY  ,3,0,    NET   30   ,0,0,0,TEXT              ,-ORDER IN MULTIPLES OF 2      ,   ,0,0,QUOTE                         ,791.65,0,791.65,E
5564,2/23/2024,GRAPHIC SOLUTIONS - TULSA     ,10110 EAST 55TH PLACE         ,                              ,TULSA          ,OK,74146,GRAPHIC SOLUTIONS GROUP       ,                              ,10910 E 55TH PL               ,TULSA          ,OK,74146,FGR1011000,          ,FDI4000,      ,BEST WAY  ,3,0,    NET   30   ,1,1,0,3600-0915C010     ," 2ML 9""X50YD NONPRF WHITE     ",EAC,148.47,148.47,QUOTE                         ,791.65,0,791.65,E
5564,2/23/2024,GRAPHIC SOLUTIONS - TULSA     ,10110 EAST 55TH PLACE         ,                              ,TULSA          ,OK,74146,GRAPHIC SOLUTIONS GROUP       ,                              ,10910 E 55TH PL               ,TULSA          ,OK,74146,FGR1011000,          ,FDI4000,      ,BEST WAY  ,3,0,    NET   30   ,0,0,0,TEXT              , 3650-10                      ,   ,0,0,QUOTE                         ,791.65,0,791.65,E
5564,2/23/2024,GRAPHIC SOLUTIONS - TULSA     ,10110 EAST 55TH PLACE         ,                              ,TULSA          ,OK,74146,GRAPHIC SOLUTIONS GROUP       ,                              ,10910 E 55TH PL               ,TULSA          ,OK,74146,FGR1011000,          ,FDI4000,      ,BEST WAY  ,3,0,    NET   30   ,0,0,0,TEXT              ,                              ,   ,0,0,QUOTE                         ,791.65,0,791.65,E
5564,2/23/2024,GRAPHIC SOLUTIONS - TULSA     ,10110 EAST 55TH PLACE         ,                              ,TULSA          ,OK,74146,GRAPHIC SOLUTIONS GROUP       ,                              ,10910 E 55TH PL               ,TULSA          ,OK,74146,FGR1011000,          ,FDI4000,      ,BEST WAY  ,3,0,    NET   30   ,0,0,0,TEXT              ,"-PRICED PER ROLL, MIN 2 ROLLS ",   ,0,0,QUOTE                         ,791.65,0,791.65,E
5564,2/23/2024,GRAPHIC SOLUTIONS - TULSA     ,10110 EAST 55TH PLACE         ,                              ,TULSA          ,OK,74146,GRAPHIC SOLUTIONS GROUP       ,                              ,10910 E 55TH PL               ,TULSA          ,OK,74146,FGR1011000,          ,FDI4000,      ,BEST WAY  ,3,0,    NET   30   ,0,0,0,TEXT              ,-ORDER IN MULTIPLES OF 2      ,   ,0,0,QUOTE                         ,791.65,0,791.65,E
5564,2/23/2024,GRAPHIC SOLUTIONS - TULSA     ,10110 EAST 55TH PLACE         ,                              ,TULSA          ,OK,74146,GRAPHIC SOLUTIONS GROUP       ,                              ,10910 E 55TH PL               ,TULSA          ,OK,74146,FGR1011000,          ,FDI4000,      ,BEST WAY  ,3,0,    NET   30   ,0,0,0,TEXT              ,****************************  ,   ,0,0,QUOTE                         ,791.65,0,791.65,E
5564,2/23/2024,GRAPHIC SOLUTIONS - TULSA     ,10110 EAST 55TH PLACE         ,                              ,TULSA          ,OK,74146,GRAPHIC SOLUTIONS GROUP       ,                              ,10910 E 55TH PL               ,TULSA          ,OK,74146,FGR1011000,          ,FDI4000,      ,BEST WAY  ,3,0,    NET   30   ,0,0,0,TEXT              ,DELETED ITEM                  ,   ,0,0,QUOTE                         ,791.65,0,791.65,E
5564,2/23/2024,GRAPHIC SOLUTIONS - TULSA     ,10110 EAST 55TH PLACE         ,                              ,TULSA          ,OK,74146,GRAPHIC SOLUTIONS GROUP       ,                              ,10910 E 55TH PL               ,TULSA          ,OK,74146,FGR1011000,          ,FDI4000,      ,BEST WAY  ,3,0,    NET   30   ,0,0,0,TEXT              ,                              ,   ,0,0,QUOTE                         ,791.65,0,791.65,E
5564,2/23/2024,GRAPHIC SOLUTIONS - TULSA     ,10110 EAST 55TH PLACE         ,                              ,TULSA          ,OK,74146,GRAPHIC SOLUTIONS GROUP       ,                              ,10910 E 55TH PL               ,TULSA          ,OK,74146,FGR1011000,          ,FDI4000,      ,BEST WAY  ,3,0,    NET   30   ,0,0,0,TEXT              ,                              ,   ,0,0,QUOTE                         ,791.65,0,791.65,E
5564,2/23/2024,GRAPHIC SOLUTIONS - TULSA     ,10110 EAST 55TH PLACE         ,                              ,TULSA          ,OK,74146,GRAPHIC SOLUTIONS GROUP       ,                              ,10910 E 55TH PL               ,TULSA          ,OK,74146,FGR1011000,          ,FDI4000,      ,BEST WAY  ,3,0,    NET   30   ,0,0,0,TEXT              ,                              ,   ,0,0,QUOTE                         ,791.65,0,791.65,E
5564,2/23/2024,GRAPHIC SOLUTIONS - TULSA     ,10110 EAST 55TH PLACE         ,                              ,TULSA          ,OK,74146,GRAPHIC SOLUTIONS GROUP       ,                              ,10910 E 55TH PL               ,TULSA          ,OK,74146,FGR1011000,          ,FDI4000,      ,BEST WAY  ,3,0,    NET   30   ,1,1,0,3600-2415-010     ," 2ML 24""X50YD NONPERF WHITE   ",EAC,395.93,395.93,QUOTE                         ,791.65,0,791.65,E
5564,2/23/2024,GRAPHIC SOLUTIONS - TULSA     ,10110 EAST 55TH PLACE         ,                              ,TULSA          ,OK,74146,GRAPHIC SOLUTIONS GROUP       ,                              ,10910 E 55TH PL               ,TULSA          ,OK,74146,FGR1011000,          ,FDI4000,      ,BEST WAY  ,3,0,    NET   30   ,0,0,0,TEXT              , 3650-10                      ,   ,0,0,QUOTE                         ,791.65,0,791.65,E
5564,2/23/2024,GRAPHIC SOLUTIONS - TULSA     ,10110 EAST 55TH PLACE         ,                              ,TULSA          ,OK,74146,GRAPHIC SOLUTIONS GROUP       ,                              ,10910 E 55TH PL               ,TULSA          ,OK,74146,FGR1011000,          ,FDI4000,      ,BEST WAY  ,3,0,    NET   30   ,0,0,0,TEXT              ,                              ,   ,0,0,QUOTE                         ,791.65,0,791.65,E
5564,2/23/2024,GRAPHIC SOLUTIONS - TULSA     ,10110 EAST 55TH PLACE         ,                              ,TULSA          ,OK,74146,GRAPHIC SOLUTIONS GROUP       ,                              ,10910 E 55TH PL               ,TULSA          ,OK,74146,FGR1011000,          ,FDI4000,      ,BEST WAY  ,3,0,    NET   30   ,0,0,0,TEXT              ,"-PER ROLL, MIN 2 ROLLS        ",   ,0,0,QUOTE                         ,791.65,0,791.65,E
5564,2/23/2024,GRAPHIC SOLUTIONS - TULSA     ,10110 EAST 55TH PLACE         ,                              ,TULSA          ,OK,74146,GRAPHIC SOLUTIONS GROUP       ,                              ,10910 E 55TH PL               ,TULSA          ,OK,74146,FGR1011000,          ,FDI4000,      ,BEST WAY  ,3,0,    NET   30   ,0,0,0,TEXT              ,-ORDER IN MULTIPLES OF 2      ,   ,0,0,QUOTE                         ,791.65,0,791.65,E
5564,2/23/2024,GRAPHIC SOLUTIONS - TULSA     ,10110 EAST 55TH PLACE         ,                              ,TULSA          ,OK,74146,GRAPHIC SOLUTIONS GROUP       ,                              ,10910 E 55TH PL               ,TULSA          ,OK,74146,FGR1011000,          ,FDI4000,      ,BEST WAY  ,3,0,    NET   30   ,0,0,0,TEXT              ,-10 SLITTING FEE ADDED PER    ,   ,0,0,QUOTE                         ,791.65,0,791.65,E
5564,2/23/2024,GRAPHIC SOLUTIONS - TULSA     ,10110 EAST 55TH PLACE         ,                              ,TULSA          ,OK,74146,GRAPHIC SOLUTIONS GROUP       ,                              ,10910 E 55TH PL               ,TULSA          ,OK,74146,FGR1011000,          ,FDI4000,      ,BEST WAY  ,3,0,    NET   30   ,0,0,0,TEXT              ,#NAME?,   ,0,0,QUOTE                         ,791.65,0,791.65,E
5564,2/23/2024,GRAPHIC SOLUTIONS - TULSA     ,10110 EAST 55TH PLACE         ,                              ,TULSA          ,OK,74146,GRAPHIC SOLUTIONS GROUP       ,                              ,10910 E 55TH PL               ,TULSA          ,OK,74146,FGR1011000,          ,FDI4000,      ,BEST WAY  ,3,0,    NET   30   ,0,0,0,TEXT              ,                              ,   ,0,0,QUOTE                         ,791.65,0,791.65,E
5564,2/23/2024,GRAPHIC SOLUTIONS - TULSA     ,10110 EAST 55TH PLACE         ,                              ,TULSA          ,OK,74146,GRAPHIC SOLUTIONS GROUP       ,                              ,10910 E 55TH PL               ,TULSA          ,OK,74146,FGR1011000,          ,FDI4000,      ,BEST WAY  ,3,0,    NET   30   ,0,0,0,TEXT              ,#NAME?,   ,0,0,QUOTE                         ,791.65,0,791.65,E
5564,2/23/2024,GRAPHIC SOLUTIONS - TULSA     ,10110 EAST 55TH PLACE         ,                              ,TULSA          ,OK,74146,GRAPHIC SOLUTIONS GROUP       ,                              ,10910 E 55TH PL               ,TULSA          ,OK,74146,FGR1011000,          ,FDI4000,      ,BEST WAY  ,3,0,    NET   30   ,0,0,0,TEXT              ,#NAME?,   ,0,0,QUOTE                         ,791.65,0,791.65,E
