externalid,binnumber,location,Concat
L6C1,L6C1,Haughton,L6C1Haughton
L6C2,L6C2,Haughton,L6C2Haughton
L6D1,L6D1,Haughton,L6D1Haughton
L6D2,L6D2,Haughton,L6D2Haughton
L6E1,L6E1,Haughton,L6E1Haughton
L6E2,L6E2,Haughton,L6E2Haughton
L7A1,L7A1,Haughton,L7A1Haughton
L7A2,L7A2,Haughton,L7A2Haughton
L7B,L7B,Haughton,L7BHaughton
L7B1,L7B1,Haughton,L7B1Haughton
L7B2,L7B2,Haughton,L7B2Haughton
L7B3,L7B3,Haughton,L7B3Haughton
L7B5,L7B5,Haughton,L7B5Haughton
L7C1,L7C1,Haughton,L7C1Haughton
L7C2,L7C2,Haughton,L7C2Haughton
L7D1,L7D1,Haughton,L7D1Haughton
L7D2,L7D2,Haughton,L7D2Haughton
L7E1,L7E1,Haughton,L7E1Haughton
L7E2,L7E2,Haughton,L7E2Haughton
L8C1,L8C1,Haughton,L8C1Haughton
L8C2,L8C2,Haughton,L8C2Haughton
L9A2,L9A2,Haughton,L9A2Haughton
Red Tag,Red Tag,Haughton,Red TagHaughton
TBD,TBD,Haughton,TBDHaughton
V1A,V1A,Haughton,V1AHaughton
V1B,V1B,Haughton,V1BHaughton
V1C,V1C,Haughton,V1CHaughton
V1D,V1D,Haughton,V1DHaughton
V1E,V1E,Haughton,V1EHaughton
V1F,V1F,Haughton,V1FHaughton
V1G,V1G,Haughton,V1GHaughton
V1H,V1H,Haughton,V1HHaughton
V2A,V2A,Haughton,V2AHaughton
V2B,V2B,Haughton,V2BHaughton
V2C,V2C,Haughton,V2CHaughton
V2C1,V2C1,Haughton,V2C1Haughton
V2C11,V2C11,Haughton,V2C11Haughton
V2C12,V2C12,Haughton,V2C12Haughton
V2C2,V2C2,Haughton,V2C2Haughton
V2C3,V2C3,Haughton,V2C3Haughton
V2C4,V2C4,Haughton,V2C4Haughton
V2C5,V2C5,Haughton,V2C5Haughton
V2C6,V2C6,Haughton,V2C6Haughton
V2C7,V2C7,Haughton,V2C7Haughton
V2C8,V2C8,Haughton,V2C8Haughton
V2C9,V2C9,Haughton,V2C9Haughton
V2D,V2D,Haughton,V2DHaughton
V2D1,V2D1,Haughton,V2D1Haughton
V2D2,V2D2,Haughton,V2D2Haughton
V2D3,V2D3,Haughton,V2D3Haughton
V2D4,V2D4,Haughton,V2D4Haughton
V2D5,V2D5,Haughton,V2D5Haughton
V2D6,V2D6,Haughton,V2D6Haughton
V2D7,V2D7,Haughton,V2D7Haughton
V2D8,V2D8,Haughton,V2D8Haughton
V2D9,V2D9,Haughton,V2D9Haughton
V2E,V2E,Haughton,V2EHaughton
V2F,V2F,Haughton,V2FHaughton
V2G,V2G,Haughton,V2GHaughton
V2H,V2H,Haughton,V2HHaughton
VMI,VMI,Haughton,VMIHaughton
VMI,VMI,Victoria,VMIVictoria
VMI,VMI,Houston,VMIHouston
W1A1,W1A1,Haughton,W1A1Haughton
W1A2,W1A2,Haughton,W1A2Haughton
W1A3,W1A3,Haughton,W1A3Haughton
W1A4,W1A4,Haughton,W1A4Haughton
W1A5,W1A5,Haughton,W1A5Haughton
W1A6,W1A6,Haughton,W1A6Haughton
W1B1,W1B1,Haughton,W1B1Haughton
