Type,tranid,entity,Vendor Internal Id,reference no,terms,Currency,exchangerate,duedate,postingperiod,subsidiary,memo,trandate,purchaseItemline_itemRef,purchaseItemline_quantity,purchaseItemLine_rate,usertotal,purchaseItemLine_location
Bill,TXKI000005184,DHL EXPRESS,2107,TXKI000005184,23,US Dollar,1.00,01/05/2023,Dec 2022,Sullivan Process Controls,,12/21/2022,Open AP Item,1,1058.67,1058.67,5
Bill,D19219404,DHL EXPRESS,2107,D19219404,23,US Dollar,1.00,01/07/2023,Dec 2022,Sullivan Process Controls,,12/31/2022,Open AP Item,1,268.66,268.66,3
Bill,D19215967,DHL EXPRESS,2107,D19215967,23,US Dollar,1.00,01/07/2023,Dec 2022,Sullivan Process Controls,,12/31/2022,Open AP Item,1,46.66,46.66,5
Bill,D19205163,DHL EXPRESS,2107,D19205163,23,US Dollar,1.00,01/07/2023,Dec 2022,Sullivan Process Controls,,12/31/2022,Open AP Item,1,46.66,46.66,3
Bill,TXKI000005196,DHL EXPRESS,2107,TXKI000005196,23,US Dollar,1.00,01/12/2023,Dec 2022,Sullivan Process Controls,,12/28/2022,Open AP Item,1,941.53,941.53,3
Bill,TXKI000005205,DHL EXPRESS,2107,TXKI000005205,23,US Dollar,1.00,01/15/2023,Dec 2022,Sullivan Process Controls,,12/31/2022,Open AP Item,1,6775.34,6775.34,3
Bill,TXKI000005205,DHL EXPRESS,2107,TXKI000005205,23,US Dollar,1.00,01/15/2023,Dec 2022,Sullivan Process Controls,,12/31/2022,Open AP Item,1,1884.03,1884.03,5
Bill,MD-1165,DIGIBOX CREATIVE,2108,MD-1165,20,US Dollar,1.00,11/07/2022,Nov 2022,Sullivan Process Controls,,11/2/2022,Open AP Item,1,2000.00,2000.00,3
Bill,MD-1167,DIGIBOX CREATIVE,2108,MD-1167,20,US Dollar,1.00,11/30/2022,Nov 2022,Sullivan Process Controls,,11/30/2022,Open AP Item,1,2000.00,2000.00,3
Bill,146891,DMR MECHANICAL,2110,146891,4,US Dollar,1.00,11/30/2022,Nov 2022,Sullivan Process Controls,,11/1/2022,Open AP Item,1,2056.19,2056.19,4
