Item Name/Number,Display Name/Code,Primary Units Type Internal Id,Primary Units Type,Sub Unit Internal Id ,Description,Location,PRODUCTION & SPECIAL INSTRUCTIONS COMMENTS,Track Landed Cost,Costing Method,Cost Category,Use Bin,Base Price,COGS Account,Asset Account,Income Account,WIP Account,Scrap Account,Tax Schedule,Ink,Watermark,Status Notes
9124,"Sheeted Part 3M 9874 18"" x 24""",5,Unit-Base M (Use for Finished Goods),7,"Sheeted Part - 3M 9874 - 18"" x 24""",Strouse-HQ,,TRUE,Average,Default Cost Category,TRUE,17726.36,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
9125,Die Cut Part DX Tape - Top of Card 26.21mm x 85.93mm,5,Unit-Base M (Use for Finished Goods),7,Die Cut Part - DX Tape - Top of Card - 26.21mm x 85.93mm,Strouse-HQ,,TRUE,Average,Default Cost Category,TRUE,319.379,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
9126,Die Cut Part DX Tape - Shroud 34.06mm x 94.21mm,5,Unit-Base M (Use for Finished Goods),7,Die Cut Part - DX Tape - Shroud - 34.06mm x 94.21mm,Strouse-HQ,,TRUE,Average,Default Cost Category,TRUE,326.315,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,"PK - 5/4/23 - Need to investigate why the UPH is underperforming.  If no hidden issues limiting speed, we should be targeting a press speed of 60'/min for this job."
9127,Die Cut Part DX Tape - Bottom of Card 25.42mm x 81.89mm,5,Unit-Base M (Use for Finished Goods),7,Die Cut Part - DX Tape - Bottom of Card - 25.42mm x 81.89mm,Strouse-HQ,,TRUE,Average,Default Cost Category,TRUE,313.236,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,"10/28-20 - PK - Per our follow-up meeting, we want to try mining the slugs our with UPVC from underneath the web vs. ejecting due to complications on previous run."
9128,"Die Cut Part 3M 1181 0.50"" x 0.10""",5,Unit-Base M (Use for Finished Goods),7,"Die Cut Part - 3M 1181 - 0.50"" x 0.10""",Strouse-HQ,,TRUE,Average,Default Cost Category,TRUE,497.49,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
9129,"Sheeted Part ECF 568 Base 2.64"" x 1.719""",3,"Each (Use for Boxes, Bags, Cores, Cases)",4,"Sheeted Part - ECF 568 Base - 2.64"" x 1.719""",Strouse-HQ,,TRUE,Average,Default Cost Category,TRUE,98.602875,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
9130,"Sheeted Part ECF 568 Finger #1 0.456"" x 0.122""",3,"Each (Use for Boxes, Bags, Cores, Cases)",4,"Sheeted Part - ECF 568 Finger #1 - 0.456"" x 0.122""",Strouse-HQ,,TRUE,Average,Default Cost Category,TRUE,20.0485,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
9131,Sheeted Part ECF 568 Finger #2 ,3,"Each (Use for Boxes, Bags, Cores, Cases)",4,Sheeted Part - ECF 568 Finger #2,Strouse-HQ,,TRUE,Average,Default Cost Category,TRUE,32.53125,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
9132,Sheeted Part ECF 568 Finger #3 ,3,"Each (Use for Boxes, Bags, Cores, Cases)",4,Sheeted Part - ECF 568 Finger #3,Strouse-HQ,,TRUE,Average,Default Cost Category,TRUE,48.134375,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
9133,Die Cut Part Cartridge Film 159.29mm x 91.86mm,5,Unit-Base M (Use for Finished Goods),7,Die Cut Part - Cartridge Film - 159.29mm x 91.86mm,Strouse-HQ,,TRUE,Average,Default Cost Category,TRUE,4621.95,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,"11/2/21 Phil - All S5005 adhesive should be 4.25"".  Do not pre-slit any of the 4.25"" to 2.125"".

10/2/2020 - Skip - See email string RE: Hemosonics..
Just want to review with press operator before setting up. "
