Reference #,Adjustment Account,Date,Posting Period,Memo,Item Name Number,Vlookup,ID,Item Display Name,Location,Units,Adjust Qty By,Est. Unit Cost,Subtotal,Memo,Internal ID
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-IND-022,1,276,,BM Nagano,,244,0.0589,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-IND-01F,1,273,,BM Nagano,,250,0.06,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-PL-03D,1,488,,BM Nagano,,252,0.65,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-FUS-002,1,240,,BM Nagano,,260,0.07,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-RES-030,1,568,,BM Nagano,,262,0.001,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-IND-020,1,274,,BM Nagano,,263,0.0589,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-LBL-007,1,320,,BM Nagano,,266,0.05,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-PCKG-008,1,420,,BM Nagano,,267,0,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-RES-092,1,606,,BM Nagano,,277,0.00243,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-OSC-003,1,390,,BM Nagano,,281,0.3,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-RES-011,1,543,,BM Nagano,,286,0.0015,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-PL-024,1,469,,BM Nagano,,289,1.5,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-OSC-007,1,393,,BM Nagano,,292,0.16,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-RF-005,1,654,,BM Nagano,,298,1.48,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-MOS-003,1,366,,BM Nagano,,300,0.0256,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-DRIV-023,1,214,,BM Nagano,,316,3.8,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-PCKG-017,1,431,,BM Nagano,,316.878,4.5,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-DIO-00A,1,190,,BM Nagano,,318,0.0618,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-PCKG-037,1,440,,BM Nagano,,328.00002,3.3,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-DRIV-00D,1,208,,BM Nagano,,337,0.75,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-RES-038,1,574,,BM Nagano,,337,0.001,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-IND-00F,1,261,,BM Nagano,,356,0.56,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-RF-019,1,672,,BM Nagano,,364,0,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-PL-043,1,492,,BM Nagano,,371,0.31,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-RES-03A,1,576,,BM Nagano,,371,0.001,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-CAP-018,1,53,,BM Nagano,,374,0.0028,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-REG-017,1,516,,BM Nagano,,376,0.00001,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-RF-004,1,653,,BM Nagano,,382,0.7,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-PCKG-020,1,1179,,BM Nagano,,390,0.41,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-RES-00A,1,535,,BM Nagano,,413,0.036,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-RES-031,1,569,,BM Nagano,,424,0.001,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-CAP-01E,1,884,,BM Nagano,,425,0.13,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-OSC-001,1,388,,BM Nagano,,428,0.235,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-IND-011,1,263,,BM Nagano,,436,0.0156,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-RES-03C,1,578,,BM Nagano,,437,0.001,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-PCKG-021,1,1180,,BM Nagano,,442,0.52,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-RES-024,1,559,,BM Nagano,,444,0.001,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-CAP-020,1,885,,BM Nagano,,446,0.0148,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-MCU-006,1,339,,BM Nagano,,457,1.29,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-RES-02B,1,563,,BM Nagano,,460,0.001,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-REG-002,1,510,,BM Nagano,,463,0.195,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-RES-035,1,572,,BM Nagano,,467,0.001,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-RES-02F,1,567,,BM Nagano,,468,0.001,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-CAP-010,1,870,,BM Nagano,,470,0.028,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-IND-00D,1,259,,BM Nagano,,472,0.0138,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-MNT-012,1,360,,BM Nagano,,474,0.0975,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-RES-02C,1,564,,BM Nagano,,478,0.001,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-PCKG-036,1,439,,BM Nagano,,479,0,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-LBL-016,1,327,,BM Nagano,,481,0.0043,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-CAP-031,1,63,,BM Nagano,,486,0.0045,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-CAP-02C,1,897,,BM Nagano,,493,0.0025,,,4774
